Title,Author,Rating,Number of users rated,Price
Fear No Evil (Alex Cross Book 29) ,Hardcover,4.6 out of 5 stars,Other formats: ,$14.99
BAD KARMA: The True Story of a Mexico Trip from Hell ,Paul Wilson,4.2 out of 5 stars, and ,$12.55
Chicken Soup for the Soul: Laughter Is the Best Medicine: 101 Feel Good Stories ,Amy Newmark,4.7 out of 5 stars,998,$8.91
"Leviathan Falls: Expanse, Book 9 ",Kindle,4.8 out of 5 stars,Other formats: ,$0.00
The Arrangement ,Kiersten Modglin,4.2 out of 5 stars,"4,509",$0.00
The Virginia Dynasty: Four Presidents and the Creation of the American Nation ,Lynne Cheney,4.7 out of 5 stars,516,$17.99
The Searcher: A Novel ,Tana French,4.3 out of 5 stars,"22,087",$12.99
We Were Liars ,E. Lockhart,4.5 out of 5 stars,"31,158",$5.98
A Little Hope: A Novel ,Ethan Joella,4.2 out of 5 stars,95,$17.21
"Extraordinary Women In History: 70 Remarkable Women Who Made a Difference, Inspired & Broke Barriers ",Leah Gail,4.3 out of 5 stars,51,$0.00
Cloud Cuckoo Land: A Novel ,Anthony Doerr,4.5 out of 5 stars,"4,137",$18.57
"Set the Night on Fire: Living, Dying, and Playing Guitar With the Doors ",Robby Krieger,4.8 out of 5 stars, and ,$22.49
"What Really Happened In Wuhan: A Virus Like No Other, Countless Infections, Millions of Deaths ",Sharri Markson,4.9 out of 5 stars,342,$25.99
The Last Protector (Clayton White Book 1) ,Audible Audiobook,4.4 out of 5 stars,Other formats: ,$0.00
Noble Intentions: A Jack Noble Thriller ,Paperback,4.4 out of 5 stars,Other formats: ,$0.00
They Wish They Were Us ,Jessica Goodman,4.3 out of 5 stars,"1,690",$9.13
The Wise Ass (The Claire Trilogy Book 1) ,Paperback,4.4 out of 5 stars,Other formats: ,$0.00
Blood in the Bayou: A Bone-Chilling FBI Thriller (FBI Agent Jade Monroe Live or Die Series Book 1) ,Paperback,4.2 out of 5 stars,Other format: ,$0.00
Dare to Lead: Brave Work. Tough Conversations. Whole Hearts. ,Brené Brown,4.7 out of 5 stars,"12,798",$10.39
Spectacular Spreads: 50 Amazing Food Spreads for Any Occasion ,Maegan Brown,4.8 out of 5 stars,118,$20.62
The Girls in the Stilt House: A Novel ,Kelly Mustian ,4.5 out of 5 stars,"3,377",$7.39
Mercy (Atlee Pine Book 4) ,Audible Audiobook,4.6 out of 5 stars,Other formats: ,$14.99
The Complete Instant Pot Cookbook: 1000 Recipes For Easy & Delicious Pressure Cooker Homemade Meals ,Kindle,4.8 out of 5 stars,Jennifer Grant,$10.59
Signs of Life Series: A Christian Fiction Thriller Series Boxed Set ,Creston Mapes,4.8 out of 5 stars,92,$0.00
"Jesus Listens: Daily Devotional Prayers of Peace, Joy, and Hope (the NEW 365-day Prayer Book) ",Sarah Young,4.8 out of 5 stars,469,$13.38
The Weight of Air: A Story of the Lies about Addiction and the Truth about Recovery ,David Poses,4.5 out of 5 stars,418,$14.95
